Relative:208,pelco_blank_1,Relative:208,pelco_blank_1,Relative:208,gt_s,Relative:208,gt_s,Relative:208,gt_s,Relative:208,pelco_blank_2,Relative:208,pelco_blank_2,Relative:208,gt,Relative:208,gt,Relative:208,gt,Relative:208,g_s,Relative:208,g_s,Relative:208,g_s,Relative:208,r_s,Relative:208,r_s,Relative:208,r_s,Relative:208,g,Relative:208,g,Relative:208,g,Relative:208,g,Relative:208,r,Relative:208,r,Relative:208,r,Relative:208,r
197.055,385.16,197.055,313.87,197.055,-6.54,197.055,-143.46,197.055,195.33,197.055,649.53,197.055,193.93,197.055,-101.4,197.055,-249.07,197.055,-121.96,197.055,-11.21,197.055,92.99,197.055,144.86,197.055,175.7,197.055,173.83,197.055,47.2,197.055,-142.52,197.055,56.07,197.055,-145.79,197.055,-65.42,197.055,4.21,197.055,191.12,197.055,-268.69,197.055,-190.65
197.439,-325.88,197.439,-525.29,197.439,-53.25,197.439,85.06,197.439,164.94,197.439,-487.01,197.439,42.21,197.439,224.03,197.439,356.49,197.439,501.95,197.439,150.65,197.439,348.7,197.439,359.74,197.439,119.48,197.439,90.91,197.439,214.94,197.439,395.45,197.439,-15.58,197.439,441.56,197.439,309.09,197.439,-57.79,197.439,170.78,197.439,227.92,197.439,379.22
197.823,298.46,197.823,221.81,197.823,169.5,197.823,114.54,197.823,197.87,197.823,-282.98,197.823,17.38,197.823,82.62,197.823,69.86,197.823,98.23,197.823,76.6,197.823,167.73,197.823,-53.19,197.823,14.18,197.823,287.94,197.823,208.16,197.823,0.35,197.823,-53.9,197.823,19.86,197.823,78.01,197.823,59.22,197.823,-8.87,197.823,79.08,197.823,190.07
198.207,-530.11,198.207,-591.94,198.207,-56.83,198.207,-98.92,198.207,-108.63,198.207,413.67,198.207,126.26,198.207,-106.83,198.207,-111.15,198.207,-162.95,198.207,-60.43,198.207,-89.57,198.207,-170.5,198.207,-37.41,198.207,-10.07,198.207,122.66,198.207,-144.24,198.207,-83.45,198.207,-37.41,198.207,-125.18,198.207,-146.4,198.207,-54.32,198.207,-166.55,198.207,25.9
198.591,387.7,198.591,307.22,198.591,-18.7,198.591,5.28,198.591,-25.2,198.591,447.97,198.591,-52.44,198.591,-172.76,198.591,-171.14,198.591,-340.24,198.591,-178.86,198.591,-55.69,198.591,-270.73,198.591,-204.88,198.591,-76.42,198.591,-167.07,198.591,-234.55,198.591,-87.8,198.591,-81.3,198.591,-167.48,198.591,-15.85,198.591,-165.45,198.591,-266.26,198.591,-107.32
198.975,270.07,198.975,385.37,198.975,3.83,198.975,-7.45,198.975,-50.64,198.975,346.81,198.975,57.66,198.975,-93.83,198.975,-113.4,198.975,-4.47,198.975,-22.13,198.975,35.53,198.975,-56.6,198.975,-42.55,198.975,-84.26,198.975,-5.74,198.975,37.23,198.975,5.11,198.975,25.53,198.975,7.66,198.975,76.81,198.975,42.77,198.975,-13.4,198.975,-11.91
199.359,469.33,199.359,538.96,199.359,-5940,199.359,-6210,199.359,-180,199.359,-13740,199.359,-5270,199.359,-4710,199.359,1010,199.359,-3950,199.359,-1360,199.359,-1510,199.359,-1980,199.359,-5040,199.359,-2760,199.359,-5170,199.359,-4630,199.359,-4080,199.359,-3440,199.359,-1480,199.359,-730,199.359,-410,199.359,-170,199.359,1840
199.743,130.73,199.743,163.48,199.743,77.54,199.743,46.26,199.743,0.53,199.743,465.78,199.743,85.29,199.743,74.6,199.743,2.94,199.743,58.56,199.743,156.15,199.743,91.71,199.743,-66.84,199.743,87.7,199.743,180.75,199.743,44.12,199.743,25.4,199.743,83.42,199.743,134.76,199.743,82.35,199.743,45.19,199.743,23.8,199.743,-123.8,199.743,-57.75
200.127,361.67,200.127,253.08,200.127,60.43,200.127,3.48,200.127,-33.69,200.127,350.27,200.127,145.19,200.127,-62.3,200.127,-44.12,200.127,-31.28,200.127,-14.97,200.127,-6.68,200.127,61.5,200.127,87.7,200.127,60.96,200.127,-122.73,200.127,-21.66,200.127,57.75,200.127,168.98,200.127,125.13,200.127,-121.66,200.127,-6.15,200.127,-98.13,200.127,-10.7
200.511,-14660,200.511,-10850,200.511,2.86,200.511,-278.57,200.511,-42.86,200.511,1437.14,200.511,775.71,200.511,261.43,200.511,-304.29,200.511,-441.43,200.511,-262.86,200.511,467.14,200.511,-654.29,200.511,194.29,200.511,5.71,200.511,372.86,200.511,-92.86,200.511,285.71,200.511,-194.29,200.511,348.57,200.511,218.57,200.511,-535.71,200.511,184.29,200.511,-240
200.894,1007.69,200.894,745.6,200.894,74.59,200.894,124.59,200.894,202.76,200.894,-251.38,200.894,106.35,200.894,298.62,200.894,50,200.894,195.86,200.894,130.39,200.894,46.69,200.894,38.12,200.894,134.81,200.894,82.87,200.894,-14.64,200.894,181.49,200.894,55.25,200.894,15.47,200.894,197.79,200.894,54.97,200.894,152.21,200.894,194.2,200.894,214.36
201.278,-344.59,201.278,-381.21,201.278,-79.89,201.278,3.63,201.278,-53.07,201.278,428.49,201.278,26.54,201.278,-109.78,201.278,-14.8,201.278,-126.54,201.278,-33.52,201.278,-2.51,201.278,-150.28,201.278,-109.5,201.278,10.06,201.278,-101.4,201.278,-67.32,201.278,-42.46,201.278,2.23,201.278,-21.23,201.278,-51.12,201.278,-86.87,201.278,-120.39,201.278,-136.31
201.662,318.37,201.662,203,201.662,-138.97,201.662,-103.33,201.662,-65.13,201.662,274.36,201.662,65.38,201.662,-59.74,201.662,-17.69,201.662,-173.59,201.662,-112.82,201.662,-84.36,201.662,26.15,201.662,-162.05,201.662,-85.13,201.662,25.9,201.662,-152.05,201.662,-43.08,201.662,-125.13,201.662,-105.64,201.662,31.03,201.662,-55.13,201.662,-90,201.662,-145.64
202.046,334.57,202.046,275.93,202.046,37.01,202.046,7.01,202.046,11.26,202.046,187.36,202.046,23.79,202.046,35.75,202.046,-9.77,202.046,14.14,202.046,15.63,202.046,43.1,202.046,65.06,202.046,0.92,202.046,-12.41,202.046,33.68,202.046,-3.79,202.046,30.34,202.046,54.25,202.046,28.05,202.046,48.85,202.046,-6.32,202.046,-42.18,202.046,-2.76
