Relative:208,sturt_leaf,Relative:208,sturt_leaf,Relative:208,sturt_leaf,Relative:208,sturt_nectar,Relative:208,sturt_nectar,Relative:208,sturt_nectar,Relative:208,sturt_dryefn,Relative:208,sturt_dryefn,Relative:208,sturt_dryefn,Relative:208,aus_leaf,Relative:208,aus_leaf,Relative:208,aus_leaf,Relative:208,aus_nectar1,Relative:208,aus_nectar1,Relative:208,aus_nectar1,Relative:208,aus_dryefn1,Relative:208,aus_dryefn1,Relative:208,aus_dryefn1,Relative:208,aus_leaf2,Relative:208,aus_leaf2,Relative:208,aus_leaf2,Relative:208,aus_nectar2,Relative:208,aus_nectar2,Relative:208,aus_nectar2,Relative:208,aus_dryefn2,Relative:208,aus_dryefn2,Relative:208,aus_dryefn2
190.519,16.4,190.519,92.31,190.519,113.56,190.519,38.26,190.519,-7.09,190.519,-13.77,190.519,24.49,190.519,67.81,190.519,-28.95,190.519,-7.29,190.519,51.62,190.519,10.12,190.519,55.06,190.519,63.97,190.519,32.39,190.519,-18.62,190.519,53.24,190.519,59.72,190.519,-7.09,190.519,-54.86,190.519,28.14,190.519,77.94,190.519,17,190.519,51.21,190.519,-10.12,190.519,43.52,190.519,87.65
190.903,13.16,190.903,4.86,190.903,-58.1,190.903,9.11,190.903,2.63,190.903,-10.53,190.903,63.36,190.903,-16.4,190.903,26.11,190.903,60.73,190.903,-16.4,190.903,16.6,190.903,3.24,190.903,-59.11,190.903,-58.3,190.903,-67.21,190.903,-69.84,190.903,-89.27,190.903,-42.71,190.903,-96.96,190.903,21.66,190.903,-45.14,190.903,-12.15,190.903,12.35,190.903,-10.12,190.903,24.09,190.903,-41.9
191.288,-224.65,191.288,-208.45,191.288,-66.9,191.288,54.23,191.288,144.37,191.288,-397.18,191.288,-219.01,191.288,-102.11,191.288,-44.37,191.288,53.52,191.288,202.11,191.288,102.82,191.288,0,191.288,-318.31,191.288,-338.03,191.288,-177.46,191.288,-242.96,191.288,-276.76,191.288,-238.73,191.288,-202.11,191.288,-217.61,191.288,169.72,191.288,36.62,191.288,-182.39,191.288,-23.94,191.288,50,191.288,-348.59
191.673,10.56,191.673,36.64,191.673,15.05,191.673,53.55,191.673,101.4,191.673,25.05,191.673,42.71,191.673,52.24,191.673,9.07,191.673,45.98,191.673,61.21,191.673,-7.29,191.673,22.43,191.673,17.57,191.673,22.43,191.673,25.79,191.673,30.56,191.673,41.03,191.673,14.67,191.673,-4.39,191.673,-22.9,191.673,38.97,191.673,19.81,191.673,2.71,191.673,35.7,191.673,70.93,191.673,6.07
192.057,233.87,192.057,-400,192.057,182.26,192.057,-185.48,192.057,150,192.057,-883.87,192.057,-166.13,192.057,101.61,192.057,-488.71,192.057,-445.16,192.057,230.65,192.057,-693.55,192.057,51.61,192.057,-987.1,192.057,-954.84,192.057,-96.77,192.057,-350,192.057,-608.06,192.057,-598.39,192.057,-1082.26,192.057,-575.81,192.057,-540.32,192.057,-329.03,192.057,-262.9,192.057,229.03,192.057,-375.81,192.057,-617.74
192.442,0.79,192.442,-146.03,192.442,-50,192.442,200.79,192.442,-472.22,192.442,-346.03,192.442,-94.44,192.442,151.59,192.442,-151.59,192.442,288.89,192.442,50,192.442,192.06,192.442,0,192.442,-92.06,192.442,-76.19,192.442,-314.29,192.442,-324.6,192.442,-121.43,192.442,-446.83,192.442,-456.35,192.442,199.21,192.442,-278.57,192.442,-22.22,192.442,61.11,192.442,-77.78,192.442,170.63,192.442,26.19
192.827,-316.67,192.827,-1626.67,192.827,-956.67,192.827,-650,192.827,-1130,192.827,-2786.67,192.827,243.33,192.827,-963.33,192.827,-903.33,192.827,-333.33,192.827,530,192.827,-1540,192.827,-1813.33,192.827,-813.33,192.827,-2080,192.827,-1266.67,192.827,-1416.67,192.827,-830,192.827,-1396.67,192.827,-2130,192.827,-176.67,192.827,-743.33,192.827,-1160,192.827,-1130,192.827,-273.33,192.827,-1043.33,192.827,-1650
193.211,-12.75,193.211,-43.72,193.211,64.98,193.211,-36.23,193.211,15.59,193.211,-101.21,193.211,73.08,193.211,87.25,193.211,-6.28,193.211,-10.53,193.211,3.04,193.211,-57.89,193.211,-42.11,193.211,-23.48,193.211,-25.91,193.211,-12.15,193.211,-47.17,193.211,-1.82,193.211,-13.56,193.211,-132.59,193.211,24.9,193.211,-58.1,193.211,-67.21,193.211,-36.23,193.211,-55.47,193.211,40.28,193.211,-61.34
193.596,9.43,193.596,48,193.596,146.57,193.596,49.43,193.596,40.29,193.596,-1.14,193.596,52.86,193.596,72.86,193.596,-8.86,193.596,-65.14,193.596,114,193.596,46.29,193.596,-13.71,193.596,-74.29,193.596,-59.43,193.596,5.71,193.596,-43.71,193.596,-20.86,193.596,17.43,193.596,41.43,193.596,44.29,193.596,27.71,193.596,152,193.596,-37.43,193.596,54.29,193.596,148.29,193.596,132.86
193.98,148.8,193.98,59.88,193.98,100.9,193.98,195.51,193.98,123.65,193.98,-135.33,193.98,-2.1,193.98,105.09,193.98,72.16,193.98,-49.1,193.98,176.95,193.98,-42.51,193.98,-4.79,193.98,-82.63,193.98,-52.69,193.98,-70.66,193.98,16.47,193.98,78.74,193.98,32.63,193.98,0.3,193.98,-63.77,193.98,-28.44,193.98,49.1,193.98,27.84,193.98,32.93,193.98,112.28,193.98,-23.65
