"wl","sturt_leaf","sturt_nectar","sturt_dryefn","aus_leaf","aus_nectar1","aus_dryefn1","aus_leaf2","aus_dryefn2","aus_nectar2"
344,122.247332143876,86.7528119634719,82.3947956695604,-28.6098923955893,-29.3208447290302,-22.2883859169157,-24.3640806426127,-9.46050049329953,-46.6878547212075
345,120.327490889223,85.8365954584858,81.3819142168434,-28.2869989438283,-28.9529096785157,-22.0257320162699,-24.1066393989656,-9.41162341422532,-46.1921067084616
346,118.173508261462,84.7401710244303,80.2150851302542,-28.001280456441,-28.6230788638123,-21.7878240470728,-23.9303569069684,-9.446130686625,-45.6954801480813
347,115.861586097656,83.5191130455547,78.9434050207778,-27.7327007922005,-28.3096615178084,-21.558746221716,-23.7976940458399,-9.52838580032503,-45.1885629420548
348,113.467926234869,82.2289959061081,77.615970499399,-27.46122380988,-27.9909668733928,-21.322582752591,-23.6711116947987,-9.62275224515188,-44.6619429923709
349,111.068730510164,80.9253939903397,76.2818781771028,-27.1668133682524,-27.645304163454,-21.0634178520894,-23.5130707330635,-9.69359351093204,-44.1062082010179
350,108.740200760604,79.6638816824985,74.990224664874,-26.829433326091,-27.2509826208808,-20.7653357326027,-23.2860320398532,-9.70527308749195,-43.5119464699844
351,106.386571791055,78.3726327878496,73.6836175968157,-26.4451860250566,-26.7906973626139,-20.4116122330912,-23.0046072464083,-9.67070467631137,-42.8666963644527
352,103.892570190079,76.9661879431446,72.2904780942912,-26.0273985528361,-26.272669486399,-20.0061776650022,-22.7073354032495,-9.62625133448132,-42.169296768343
353,101.305135470285,75.4796717798636,70.838622999176,-25.5818718872413,-25.7134971963322,-19.5640979494577,-22.3925685185151,-9.57145058524529,-41.4272860617508
354,98.6712071442826,73.9482089294865,69.3558691533456,-25.1144070060841,-25.1297786965094,-19.1004390075796,-22.0586586003437,-9.50583995184672,-40.6482026247716
355,96.0377247246815,72.4069240234932,67.8700333986754,-24.6308048871764,-24.5381121910266,-18.6302667604899,-21.7039576568736,-9.42895695752908,-39.8395848375011
356,93.4516277240908,70.8909416933636,66.4089325770408,-24.1368665083301,-23.9550958839799,-18.1686471293107,-21.3268176962433,-9.34033912553583,-39.0089710800346
357,90.9598556551198,69.4353865705777,65.0003835303174,-23.638392847357,-23.3973279794652,-17.7306460351639,-20.9255907265912,-9.23952397911043,-38.1638997324677
358,88.4840184206232,67.9981857401556,63.6094693869017,-23.1460200928827,-22.8689101349819,-17.3081752744152,-20.5042937133157,-9.14269575001058,-37.2899871174734
359,85.9412480573537,66.5241195289304,62.1908582377962,-22.6618483527888,-22.3572810987513,-16.884910081726,-20.0694355754589,-9.05933205334708,-36.3775783742004
360,83.3717672787673,65.0285924311013,60.7567443687849,-22.1788744837712,-21.8540447109519,-16.4635615356617,-19.6231062516241,-8.97891048739304,-35.4413051074579
361,80.8157987983202,63.5270089408673,59.319322065652,-21.6900953425257,-21.3508048117625,-16.0468407147876,-19.1673956804152,-8.89090865042158,-34.4957989220551
362,78.3135653294684,62.0347735524277,57.8907856141816,-21.1885077857483,-20.8391652413618,-15.6374586976692,-18.7043938004357,-8.7848041407058,-33.5556914228011
363,75.9052895856681,60.5672907599814,56.4833293001576,-20.6671086701347,-20.3107298399285,-15.2381265628717,-18.2361905502893,-8.65007455651881,-32.6356142145053
364,73.5751633241342,59.1209633964496,55.0879587564357,-20.0961928614177,-19.7635274988223,-14.8454423467201,-17.7356794274184,-8.47592240115697,-31.693058155078
365,71.2805280813314,57.6818938744349,53.6915301479429,-19.4676197056975,-19.2034897773182,-14.4534855039075,-17.1877562635694,-8.26661117954691,-30.6938223425616
366,69.0213312395909,56.250036057659,52.3000135585703,-18.8067327802214,-18.6340745174674,-14.0611892405517,-16.6125144988014,-8.03420999240715,-29.6650007419629
367,66.7975201812438,54.8253438098434,50.9193790722091,-18.138875662237,-18.0587395613213,-13.6674867627704,-16.0300475731735,-7.79078794045622,-28.6336873182888
368,64.6090422886212,53.40777099471,49.5555967727505,-17.4893919289917,-17.4809427509313,-13.2713112766814,-15.4604489267448,-7.54841412441265,-27.626976036546
369,62.4558449440542,51.9972714759802,48.2146367440856,-16.8836251577328,-16.9041419283487,-12.8715959884024,-14.9238119995744,-7.31915764499495,-26.6719608617415
370,60.3489792733982,50.5768491781088,46.8934473960647,-16.3109944588367,-16.3176344959799,-12.4779304773009,-14.409380026055,-7.08506297192981,-25.7495994745768
371,58.2921090791065,49.1376565218906,45.5834225423318,-15.7444659790235,-15.7143755866389,-12.0968249780217,-13.8946448826267,-6.82808074746601,-24.827110088698
372,56.2741007584077,47.6918701155581,44.2822003724689,-15.1847038500558,-15.1033096379886,-11.7225936795993,-13.3820729724203,-6.56013933110515,-23.9109774685284
373,54.2838207085303,46.2516665673438,42.9874190760581,-14.6323722036964,-14.493381087692,-11.3495507710678,-12.8741306985664,-6.29316708234887,-23.0076863784917
374,52.3101353267026,44.82922248548,41.6967168426816,-14.088135171708,-13.8935343734118,-10.9720104414614,-12.3732844641958,-6.03909236069881,-22.1237215830113
