"wl","gt_s","gt","g_s","r_s","g","r"
443,9.38717117969002,-0.0434095898135985,11.5588604898624,7.99114979901308,1.66770979040092,0.0576916690789977
444,9.5889359233778,0.0270743432218588,11.8626756633654,8.15321137447016,1.75185283516586,0.101330754851061
445,9.80537356241575,0.0969204596112765,12.2176098364751,8.33736008986033,1.83292222175349,0.147720158025088
446,10.0607389793783,0.173823121630545,12.6462301489544,8.56077793593623,1.92400796930795,0.206168014726011
447,10.3327433123277,0.253417479498467,13.1116068864732,8.8011603492266,2.01765360003406,0.268258923737994
448,10.5990976993261,0.331338683433846,13.576810334701,9.03620276626021,2.10640263613666,0.325577483845199
449,10.8375132784357,0.403221883655485,14.0049107793076,9.24360062356581,2.1827985998206,0.369708293831792
450,11.0257011877186,0.464702230382186,14.3589785059628,9.40104935767215,2.23938501329072,0.392235952481936
451,11.1772002246471,0.522146447187954,14.6795598481067,9.52472078602936,2.27786756135382,0.398329358923974
452,11.3192227227111,0.583051071507824,15.0207657483507,9.64352084763833,2.30610058324104,0.398752196589027
453,11.4499901239997,0.644745974352138,15.3660134061212,9.75424616135397,2.3258505827937,0.393481240715423
454,11.5677238706019,0.704561026731243,15.6987200208447,9.8536933460312,2.33888406385313,0.382493266541491
455,11.6706454046067,0.759826099655483,16.0023027919476,9.93865902052493,2.34696753026065,0.365765049305561
456,11.7569761681032,0.807871064135202,16.2601789188563,10.0059398036901,2.35186748585759,0.343273364245961
457,11.8249376031804,0.846025791180744,16.4557656009971,10.0523323143816,2.35535043448527,0.314994986601019
458,11.856253093857,0.872591097693099,16.5749633382687,10.0571369709849,2.34791572456785,0.267544750003454
459,11.8447991931623,0.889118376162654,16.6287801813114,10.0145108810087,2.32343196351083,0.194979318567026
460,11.8070270967012,0.897813360983856,16.6382946556648,9.943535696992,2.28871954362762,0.108438213251626
461,11.7593880000784,0.900881786551152,16.6245852868685,9.86329307147414,2.25059885723159,0.0190609550171465
462,11.718333098899,0.90052938725899,16.608730600462,9.79286465699433,2.21589029663613,-0.0620129351765219
463,11.7003135887675,0.898961897501816,16.6118091219848,9.75133210609181,2.19141425415462,-0.123643936369487
464,11.685311372585,0.884459738371644,16.5904305771771,9.71796568531962,2.16971650813662,-0.176420685983734
465,11.6495410947431,0.850664092113745,16.5062660086954,9.66612043623052,2.14156153445318,-0.235249441887573
466,11.6038030630834,0.807821834852454,16.387985917454,9.60600517386331,2.1110977717,-0.295467113790603
467,11.5588975854471,0.766179842712101,16.2642608043671,9.54782871325676,2.08247365847272,-0.352410611402424
468,11.5256249696757,0.735984991817021,16.1637611703491,9.50179986944964,2.05983763336701,-0.401416844432634
469,11.5147855236105,0.727484158291546,16.1151575163142,9.47812745748075,2.04733813497855,-0.437822722590831
470,11.5221171214625,0.727448738431375,16.1032856047698,9.47278607876012,2.03933625241931,-0.467025084433317
471,11.5356540491558,0.719874111134746,16.0947739346305,9.47453454069556,2.02916522316125,-0.495721264440565
472,11.5546412321015,0.710843126429802,16.0909821114216,9.48275796732245,2.01943170834002,-0.521198916208426
473,11.5783235957111,0.706438634344685,16.0932697406682,9.49684148267621,2.0127423690913,-0.540745693332756
474,11.6059460653957,0.71274348490754,16.1029964278954,9.51617021079222,2.01170386655073,-0.551649249409408
475,11.6367535665666,0.735840528146509,16.1215217786284,9.54012927570589,2.01892286185397,-0.551197238034235
476,11.6768614601532,0.784417951486364,16.1599812755306,9.5760880492558,2.04078355772403,-0.529640037342007
477,11.7298155867754,0.857613761112559,16.2226567764789,9.62822874372598,2.07822323702454,-0.484578995838001
478,11.7910065913804,0.947185535194259,16.3006274498184,9.69115574382002,2.1256781811021,-0.424328222673833
479,11.8558251189152,1.04489085190063,16.3849724638943,9.7594734342415,2.17758467130333,-0.357201827001117
480,11.9196618143268,1.14248728940085,16.4667709870519,9.82778619969402,2.22837898897483,-0.291513917971469
481,11.9779073225624,1.23173242586407,16.5371021876362,9.89069842488116,2.2724974154632,-0.235578604736505
482,12.0259522885689,1.30438383945946,16.5870452339924,9.94281449450651,2.30437623211505,-0.197709996447839
483,12.0577191500987,1.36881257365946,16.6106027507521,9.98485928533141,2.32205409357061,-0.168320167506923
484,12.0756374666001,1.43665054659841,16.6145669550281,10.0224498998516,2.33032760391446,-0.135277207438914
485,12.0878585655641,1.50454664843831,16.6092014038877,10.0575290613723,2.33376996865981,-0.103079248080993
486,12.1025337744819,1.56914976934117,16.6047696543981,10.0920394931987,2.33695439331984,-0.0762244212703398
487,12.1278144208443,1.627108799469,16.6115352636267,10.1279239186359,2.34445408340773,-0.0592108588441332
488,12.1718518321425,1.67507262898381,16.6397617886405,10.1671250609891,2.36084224443667,-0.056536692639553
489,12.2187079805051,1.69472046105475,16.6688574347169,10.1981601220917,2.37193614793283,-0.0733708857572271
490,12.253922420541,1.68201729510884,16.6805892445438,10.2151540421377,2.36787307215884,-0.106739003196245
491,12.287862853462,1.65504071569495,16.6887590313051,10.2284611519733,2.35970623273257,-0.14892407964148
492,12.3308969804795,1.63186830736191,16.7071686081845,10.2484357824448,2.35848884527192,-0.192209149777803
493,12.3933925028053,1.63057765465859,16.7496197883659,10.2854322643984,2.37527412539477,-0.228877248290088
494,12.485717121651,1.66924634213384,16.829914385033,10.3498049286805,2.42111528871899,-0.251211409863207
495,12.6062996898455,1.73768783758572,16.94796945042,10.4380052637025,2.49587589298568,-0.269737895602177
496,12.7441851558179,1.81377553353506,17.0899153135576,10.5374038394729,2.5880791145099,-0.297475866789373
497,12.8956653641797,1.89767690161486,17.2488737028245,10.6447336092335,2.69176759677055,-0.330447708375699
498,13.0570321595426,1.98955941345808,17.4179663465993,10.7567275262259,2.80098398324649,-0.364675805312061
499,13.2245773865181,2.08959054069773,17.5903149732607,10.870118543692,2.90977091741662,-0.396182542549364
500,13.394592889718,2.19793775496677,17.7590413111875,10.9816396148735,3.0121710427598,-0.420990305038514
501,13.5778195912836,2.32084210041626,17.9451971476917,11.1033734903565,3.11966093533874,-0.437605578443174
502,13.7837598625948,2.46160566863077,18.1662144917797,11.2451846452118,3.24417269557333,-0.448068699616047
503,14.0068477221204,2.61598750239361,18.4097854043713,11.4004786194077,3.38043225347832,-0.453702830291599
504,14.2415171883293,2.77974664448805,18.6636019463864,11.5626609529127,3.52316553906843,-0.455831132204292
505,14.4822022796904,2.94864213769738,18.9153561787446,11.7251371856952,3.66709848235841,-0.455776767088592
506,14.7233370146726,3.11843302480488,19.1527401623658,11.8813128577236,3.80695701336298,-0.454862896678961
507,14.9593554117448,3.28487834859385,19.3634459581699,12.0245935089663,3.93746706209688,-0.454412682709865
508,15.2032355028773,3.4527454733882,19.5517074195079,12.1634309085819,4.05778364216731,-0.452696321998873
509,15.4649884124394,3.62846524344514,19.7311807876178,12.3075417839783,4.17239004740302,-0.447994044464564
510,15.7345977974986,3.81029192144795,19.9036917052496,12.4522291124985,4.28400462815101,-0.44164406149292
511,16.0020473151223,3.99647977007989,20.0710658151535,12.592795871485,4.39534573475829,-0.434984584469923
512,16.2573206223779,4.1852830520242,20.2351287600795,12.7245450382808,4.5091317175719,-0.429353824781554
513,16.4904013763329,4.37495602996415,20.3977061827778,12.8427795902286,4.62808092693882,-0.426089993813795
514,16.7157951598843,4.57101366748362,20.559312234823,12.9436103099625,4.75005215605131,-0.427001643468203
515,16.94995541995,4.77681887955876,20.7187914128713,13.0298787334247,4.8715887268665,-0.431763558994071
516,17.1857876096287,4.98739785596123,20.8754648772949,13.1069839679206,4.99343578287879,-0.438513301798987
517,17.416197182019,5.19777678646269,21.028653788466,13.1803251207554,5.11633846758255,-0.445388433290537
518,17.6340895902196,5.4029818608348,21.177679306757,13.2553012992344,5.24104192447219,-0.450526514876309
519,17.8323702873292,5.59803926884922,21.3218625925401,13.3373116106629,5.36829129704208,-0.45206510796389
520,18.0154501973285,5.80151054030546,21.4719164410812,13.4328543420742,5.51580238427895,-0.441988299117085
521,18.1915925915361,6.02661092349479,21.6329746071094,13.5400843657851,5.69072549228454,-0.418153196108594
522,18.3594814440577,6.26034718592657,21.795989690192,13.6518856670254,5.87795752522576,-0.387506892159352
523,18.517800728999,6.48972609511018,21.9519142898963,13.7611422310249,6.06239538726954,-0.35699648049029
524,18.6652344204657,6.70175441855496,22.0917010057894,13.8607380430136,6.22893598258279,-0.333569054322344
525,18.8004664925634,6.88343892377028,22.2063024374385,13.9435570882212,6.36247621533243,-0.324171706876445
526,18.9120697244614,7.03692063778232,22.3008264396775,14.0067730481584,6.47015914665973,-0.331587745813345
527,18.9955849053546,7.17464625547055,22.3859390082131,14.0548443758053,6.56865118154691,-0.351318343823875
528,19.0601480243867,7.29908104612427,22.4609299539217,14.0915822135964,6.65713423992229,-0.379387391674088
529,19.1148950707019,7.41269027903277,22.5250890876802,14.120797703966,6.73479024171419,-0.411818780130037
530,19.1689620334439,7.51793922348533,22.577706220365,14.1463019893486,6.80080110685092,-0.444636399957774
531,19.2314849017568,7.61729314877124,22.6180711628528,14.1719062121783,6.85434875526081,-0.473864141923354
532,19.3115996647844,7.7132173241798,22.6454737260203,14.2014215148897,6.89461510687216,-0.495525896792827
533,19.4082100663811,7.79588714593109,22.6451230829838,14.2274472934607,6.90898831248953,-0.510675838539124
534,19.5115386785404,7.8588651719183,22.611725240275,14.2436738737235,6.893729777634,-0.523570259980285
535,19.6176997326155,7.90969741394034,22.5588152588936,14.2555487928943,6.86133130430872,-0.535036230150028
536,19.7228074599595,7.95592988379614,22.4999281998392,14.268519588189,6.82428469451684,-0.545900818082073
537,19.8229760919255,8.00510859328462,22.4485991241115,14.2880337968237,6.79508175026148,-0.556991092810137
538,19.9143198598666,8.0647795542047,22.4183630927102,14.3195389560143,6.7862142735458,-0.56913412336794
539,19.9982981912914,8.12484248009323,22.3853478441514,14.3477141224013,6.77624216353747,-0.585493816299531
540,20.0790850565102,8.17391736635975,22.3265550835357,14.3603388921886,6.74379001608415,-0.606752250769236
541,20.1568665010793,8.21763064761226,22.2568308217393,14.367511611937,6.70144667820894,-0.630013754741188
542,20.2318285705548,8.26160875845874,22.1910210696384,14.3793306282076,6.66180099693491,-0.652382656179524
543,20.3041573104928,8.31147813350718,22.1439718381092,14.4058942875613,6.63744181928517,-0.670963283048379
544,20.3740387664496,8.37286520736557,22.130529138028,14.4573009365591,6.64095799228281,-0.682859963311887
545,20.4443453801257,8.4399761593997,22.1478684196207,14.5314103800954,6.66744847493699,-0.693850837675514
546,20.5163074993469,8.50514728158455,22.1806201259024,14.6181482653865,6.70325942384796,-0.708796105741722
547,20.5876480288571,8.57120017744187,22.2248127569332,14.7157117024763,6.74785048242542,-0.723423183820137
548,20.6560898734,8.6409564504934,22.2764748127731,14.8222978014083,6.80068129407908,-0.733459488220387
549,20.7193559377194,8.71723770426089,22.3316347934821,14.9361036722263,6.86121150221862,-0.734632435252099
550,20.7751691265593,8.80286554226608,22.3863211991203,15.055326424974,6.92890075025376,-0.722669441224899
551,20.8214929161762,8.90124747642914,22.4517931566148,15.1886383271711,7.00863484491885,-0.696569315429396
552,20.859386937468,9.01143399485137,22.537685190822,15.3419785171361,7.10356511846266,-0.659900601724505
