"wl","greenfolder","redfolder","darkgreenvinyl","greenvinyl","redvinyl","insidegreenfolder","insideredfolder","greenleafpoisonivy","greenleafgrapelower","greenleafgrapeupper","greenleafverygreen","redleafpoinsettia","redleafcarnation","greenbag","greenfoam","redfoam","redpaper","redswatch1314","redpaint","redtape","greencalibrate","darkgreencalibrate","redcalibrate","insideredfoldermattenp","insidegreenfoldermattenp","greenfoldermattenp","redfoldermattenp","redswatch1315mattenp","darkgreenvinylmattenp","redvinylmattenp","greenvinylmattenp"
618,34.0314674268654,66.731328581773,66.1885347251427,70.7329303201044,118.963826758373,22.298555546296,54.8707868939697,8.78072953136417,7.04306439992318,8.15353329147462,4.46289456689553,32.2435919759914,51.5408657575597,16.9609312586626,11.2266921282656,73.6791027961044,149.062238136158,193.232281193918,126.822892602684,192.840343589603,3.64512181362565,4.80370921333646,40.1138327221577,26.0327514616856,0.780213018789872,15.6070980779865,30.1606346488831,62.5929291640458,-1.33751974248072,49.7977893045613,0.767417738278083
619,33.9839747598151,67.7126128272049,66.2655260741323,70.7484320920457,119.649004184258,22.3591134798241,55.4018363451149,8.79987074969329,7.04634351210618,8.23638710263277,4.5553130801836,33.1674231432719,52.0255682581111,16.8927169999558,11.2532675235429,74.2183268856526,150.671341204483,193.618637804824,128.784877856955,191.485115347724,3.6616982415332,4.70549843196024,40.5796398677807,26.1986005507119,0.752405339192552,15.561791467373,30.478117595449,63.0524852296457,-1.34135798513072,50.5072361945752,0.720274539026888
620,33.9151701786046,68.6241955602119,66.3648210422536,70.7721676877494,120.250005778463,22.3867184464405,55.9093448714817,8.86379334330464,7.13277814663451,8.30839640801807,4.66990478171405,34.0376164764057,52.376036406427,16.9093653378725,11.3081774328108,74.6750402366819,152.054134419973,193.829382488264,131.122955287744,191.156834497057,3.70453861408635,4.64362168294969,41.0356377998153,26.3349922311928,0.721372222782728,15.5239946593556,30.7493383423174,63.4923037741956,-1.3496805232333,51.1611866663673,0.66905609172197
621,33.8193801435117,69.4846291102231,66.4969466759479,70.8177074304497,120.746867168204,22.3981148839724,56.3557025506866,8.96485724353538,7.30331229536772,8.4078213217535,4.84522922999819,34.9022864684851,52.6127079490477,17.0328096792333,11.448379049596,75.1074596564913,153.242341909282,193.816922770957,133.634415079365,191.347343235884,3.81717873845845,4.61043879074157,41.4452485104862,26.410976730613,0.695974703068219,15.4909558999883,30.951685158578,63.873481380804,-1.36588772936123,51.7617500932121,0.603791889522943
622,33.7109757296096,70.2947122746891,66.6460423213709,70.8730230987254,121.168193991339,22.3981077201829,56.7534886878949,9.08694867889762,7.52151012448738,8.5125556935902,5.04422794290377,35.7572967292222,52.7798501002146,17.2163056740162,11.629407623183,75.5162891886793,154.297816940287,193.671400169834,136.222209202333,191.873464596513,3.96589478955957,4.59472935120241,41.8261577475982,26.4455265633024,0.674502844639559,15.4630827988229,31.1039784423507,64.2122334998965,-1.38522600516475,52.3154531422845,0.533741250861325
623,33.604328011972,71.0552438510607,66.7962473246783,70.9260864711554,121.542591885728,22.391501882835,57.1152825882719,9.21395387790348,7.75093580017506,8.60049337327932,5.22984243829853,36.5985108683293,52.9217300741694,17.4131089721992,11.8067984028562,75.9022328768443,155.282412780868,193.482956201826,138.789289627161,192.552021611251,4.1169629422998,4.58527296019877,42.1960512589561,26.4576142435911,0.655246712087279,15.4407829654117,31.2250385917555,64.5247755818984,-1.40294175229414,52.8288224807595,0.468163494168631
624,33.5138080656722,71.7670226367886,66.9317010320259,70.9648693263187,121.898666489232,22.3831022996919,57.4536635569832,9.32975906906509,7.95515348861232,8.649528210572,5.36501423405021,37.4217924955188,53.0826150851536,17.5764752237605,11.9360866379004,76.2659947645847,156.257982698905,193.341732383865,141.238608324362,193.199837312406,4.2366593715892,4.57084921359717,42.5726147923647,26.4662122858092,0.636496370001914,15.4244640093067,31.3336860049127,64.8273230772354,-1.41428137239966,53.3083847758119,0.416317937876379
625,33.4537869657838,72.4308474293233,67.0365427895694,70.9773434427942,122.26502343971,22.3777138985166,57.7812108991941,9.41825048089457,8.09772735598075,8.63755405521939,5.41268484802656,38.2230052205028,53.3067723474089,17.6596600786781,11.9728075776,76.6082788954992,157.286379962277,193.33787023288,143.47311726445,193.633734732283,4.29126025233786,4.54023770726417,42.9735340956287,26.4902932042867,0.616541882973995,15.41453354006,31.4487410799421,65.1360914363329,-1.41449126713155,53.7606666946168,0.387463900416083
626,33.4298964479242,73.0416193076197,67.1140379728887,70.9533602672823,122.586513025104,22.3761561554515,58.0974938218744,9.52117737944114,8.22569798584762,8.56029012863721,5.37996381512526,39.0286678144413,53.5502293611313,17.714325198824,11.9192915754693,76.8894570447286,158.227302966485,193.328433094359,145.595553721114,194.069079046313,4.26188934623109,4.47432980453774,43.3642273956041,26.5152878466826,0.597479140985201,15.4179614188954,31.5534713558052,65.4381756516171,-1.40310031411795,54.1597748872268,0.386803401668208
627,33.4311324674129,73.5968448647073,67.180079818352,70.8981364415488,122.810048314479,22.3753970438531,58.3913505766738,9.67510451815112,8.39617819201814,8.43624388177167,5.30493360474687,39.8538977207338,53.7490771551211,17.8097739099751,11.8154618820982,77.0878696384287,158.949434067975,193.152010437398,147.743713000217,194.773425011944,4.1667106578097,4.37286260403489,43.7091993785155,26.5169941646793,0.581859293441742,15.4378212172464,31.6230428081996,65.7127397362961,-1.38416371028551,54.4870268551729,0.408685868201061
628,33.4469124288762,74.1012311691497,67.2377494632972,70.8226915367713,122.967329117377,22.3744642373058,58.6592640357777,9.8561413566323,8.58784048603077,8.27749150866963,5.1969951365134,40.6774565574522,53.9176782365261,17.9257243579673,11.6732430923852,77.2311736967201,159.528102476042,192.871032964338,149.873134120533,195.641880034509,4.02756072626701,4.25288430454071,44.0247654812205,26.4999353286414,0.568655294070958,15.4686761099795,31.6641234903494,65.9641026719686,-1.35971733623225,54.759765542847,0.44609172847792
629,33.4666537369405,74.5594852895103,67.2901280450623,70.7380451241272,123.09005524334,22.3723854093939,58.8977170713714,10.0403973544925,8.77935737942399,8.09610920337794,5.06554933004688,41.4781059426685,54.0703951124942,18.0418946886366,11.5045598012287,77.3470262397234,160.038637399981,192.547931377523,151.939356100834,196.569551519344,3.86627609079633,4.13144310484029,44.3272411405766,26.468634508934,0.556840096600186,15.5050892719611,31.683381455479,66.1965834402332,-1.3317970725562,54.9953338946413,0.492001410962068
630,33.479773796232,74.9763142943526,67.3402967009851,70.6552167747939,123.209926501909,22.3681882337015,59.1031925556403,10.2039819713394,8.94940138373624,7.90417315994347,4.91999710496933,42.2346074944546,54.2215902901732,18.1380030478189,11.3213366035271,77.4630842875592,160.556368049086,192.245136379296,153.897917959895,197.451546871786,3.70469329059098,4.02558720371871,44.6329417934415,26.4276148759217,0.545386654756765,15.5416238780576,31.6874847568125,66.4145010226884,-1.30243879985539,55.2110748549476,0.539395344116782
